Survey,Site,Occasion,velocity
1,KFB_UPS,1,0.1
2,KFS_MID,1,0.17
3,KFS_DNS,1,0.1
4,MIB_UPS,1,0.02
5,MIB_MID,1,0
6,MIB_DNS,1,0.29
7,FUB_UPS,1,0.05
8,FUB_MID,1,0.07
9,FUB_DNS,1,0.01
10,CAB_UPS,1,0.64
11,CAB_DNS,1,0.25
12,PSB_UPS,1,0.1
13,PSB_DNS,1,0.1
14,GUN_UPS,1,0.42
15,GUN_DNS,1,0.04
16,KFB_UPS,2,0.08
17,KFS_MID,2,0.18
18,KFS_DNS,2,0.01
19,MIB_UPS,2,0.04
20,MIB_MID,2,0.08
21,MIB_DNS,2,0.53
22,FUB_UPS,2,0.14
23,FUB_MID,2,0.02
24,FUB_DNS,2,0.1
25,CAB_UPS,2,0.59
26,CAB_DNS,2,0.68
27,PSB_UPS,2,0
28,PSB_DNS,2,0.05
29,GUN_UPS,2,0.24
30,GUN_DNS,2,0.09
31,KFB_UPS,3,0.3
32,KFS_MID,3,0.13
33,KFS_DNS,3,0.08
34,MIB_UPS,3,0
35,MIB_MID,3,0.19
36,MIB_DNS,3,0.19
37,FUB_UPS,3,0.08
38,FUB_MID,3,0.03
39,FUB_DNS,3,0.01
40,CAB_UPS,3,0.58
41,CAB_DNS,3,0.13
42,PSB_UPS,3,0.09
43,PSB_DNS,3,0.21
44,GUN_UPS,3,0.24
45,GUN_DNS,3,0.09
46,KFB_UPS,4,0.05
47,KFS_MID,4,0.22
48,KFS_DNS,4,0.19
49,MIB_UPS,4,0
50,MIB_MID,4,0.21
51,MIB_DNS,4,0
52,FUB_UPS,4,0
53,FUB_MID,4,0.1
54,FUB_DNS,4,0.14
55,CAB_UPS,4,0.61
56,CAB_DNS,4,0.28
57,PSB_UPS,4,0
58,PSB_DNS,4,0.1
59,GUN_UPS,4,0.04
60,GUN_DNS,4,0.33
61,KFB_UPS,5,0.07
62,KFS_MID,5,0.28
63,KFS_DNS,5,0.17
64,MIB_UPS,5,0.04
65,MIB_MID,5,0.11
66,MIB_DNS,5,0.05
67,FUB_UPS,5,0.09
68,FUB_MID,5,0
69,FUB_DNS,5,0.06
70,CAB_UPS,5,0.42
71,CAB_DNS,5,0.03
72,PSB_UPS,5,0
73,PSB_DNS,5,0
74,GUN_UPS,5,0.01
75,GUN_DNS,5,0.08
76,KFB_UPS,6,0.17
77,KFS_MID,6,0.24
78,KFS_DNS,6,0.11
79,MIB_UPS,6,0.12
80,MIB_MID,6,0.03
81,MIB_DNS,6,0.01
82,FUB_UPS,6,0.09
83,FUB_MID,6,0.02
84,FUB_DNS,6,0.05
85,CAB_UPS,6,0.8
86,CAB_DNS,6,0.52
87,PSB_UPS,6,0.01
88,PSB_DNS,6,0.02
89,GUN_UPS,6,0
90,GUN_DNS,6,0.09
91,KFB_UPS,7,0.09
92,KFS_MID,7,0.18
93,KFS_DNS,7,0.2
94,MIB_UPS,7,0.07
95,MIB_MID,7,0
96,MIB_DNS,7,0
97,FUB_UPS,7,0
98,FUB_MID,7,0.07
99,FUB_DNS,7,0
100,CAB_UPS,7,0.24
101,CAB_DNS,7,0.4
102,PSB_UPS,7,0
103,PSB_DNS,7,0.04
104,GUN_UPS,7,0.33
105,GUN_DNS,7,0.23
106,KFB_UPS,8,0.19
107,KFS_MID,8,0.19
108,KFS_DNS,8,0.04
109,MIB_UPS,8,0.14
110,MIB_MID,8,0.06
111,MIB_DNS,8,0
112,FUB_UPS,8,0.08
113,FUB_MID,8,0.02
114,FUB_DNS,8,0.08
115,CAB_UPS,8,0.25
116,CAB_DNS,8,0
117,PSB_UPS,8,0
118,PSB_DNS,8,0
119,GUN_UPS,8,0.16
120,GUN_DNS,8,0.14
121,KFB_UPS,9,0.14
122,KFS_MID,9,0.13
123,KFS_DNS,9,0.09
124,MIB_UPS,9,0.05
125,MIB_MID,9,0
126,MIB_DNS,9,0
127,FUB_UPS,9,0.03
128,FUB_MID,9,0.03
129,FUB_DNS,9,0.01
130,CAB_UPS,9,0.49
131,CAB_DNS,9,0.39
132,PSB_UPS,9,0
133,PSB_DNS,9,0
134,GUN_UPS,9,0.37
135,GUN_DNS,9,0.02
136,KFB_UPS,10,0.07
137,KFS_MID,10,0.13
138,KFS_DNS,10,0.04
139,MIB_UPS,10,0
140,MIB_MID,10,0
141,MIB_DNS,10,0
142,FUB_UPS,10,0.04
143,FUB_MID,10,0.03
144,FUB_DNS,10,0.09
145,CAB_UPS,10,0
146,CAB_DNS,10,0
147,PSB_UPS,10,0
148,PSB_DNS,10,0
149,GUN_UPS,10,0.15
150,GUN_DNS,10,0.01
151,KFB_UPS,11,0.13
152,KFS_MID,11,0.11
153,KFS_DNS,11,0.06
154,MIB_UPS,11,0.07
155,MIB_MID,11,0
156,MIB_DNS,11,0
157,FUB_UPS,11,0.09
158,FUB_MID,11,0
159,FUB_DNS,11,0
160,CAB_UPS,11,0
161,CAB_DNS,11,0
162,PSB_UPS,11,0
163,PSB_DNS,11,0
164,GUN_UPS,11,0.32
165,GUN_DNS,11,0.04
